state,zone,survey_year,mean_ideal_num_children_women_15_49,notes
NATIONAL,National,2024,5.7,National estimate
ZONE: North Central,North Central,2024,5.5,Zonal aggregate
ZONE: North East,North East,2024,6.2,Zonal aggregate
ZONE: North West,North West,2024,6.9,Zonal aggregate
ZONE: South East,South East,2024,4.8,Zonal aggregate
ZONE: South South,South South,2024,4.3,Zonal aggregate
ZONE: South West,South West,2024,3.8,Zonal aggregate
FCT-Abuja,North Central,2024,4.5,State-level estimate
Benue,North Central,2024,4.9,State-level estimate
Kogi,North Central,2024,5.2,State-level estimate
Kwara,North Central,2024,4.8,State-level estimate
Nasarawa,North Central,2024,5.5,State-level estimate
Niger,North Central,2024,6.7,State-level estimate
Plateau,North Central,2024,5.6,State-level estimate
Adamawa,North East,2024,6.2,State-level estimate
Bauchi,North East,2024,6.4,State-level estimate
Borno,North East,2024,6.3,State-level estimate
Gombe,North East,2024,6.5,State-level estimate
Taraba,North East,2024,5.5,State-level estimate
Yobe,North East,2024,5.8,State-level estimate
Jigawa,North West,2024,8.2,State-level estimate
Kaduna,North West,2024,6.1,State-level estimate
Kano,North West,2024,6.6,State-level estimate
Katsina,North West,2024,5.3,State-level estimate
Kebbi,North West,2024,8.2,State-level estimate
Sokoto,North West,2024,8.1,State-level estimate
Zamfara,North West,2024,8.0,State-level estimate
Abia,South East,2024,4.3,State-level estimate
Anambra,South East,2024,4.2,State-level estimate
Ebonyi,South East,2024,5.8,State-level estimate
Enugu,South East,2024,4.3,State-level estimate
Imo,South East,2024,4.6,State-level estimate
Akwa Ibom,South South,2024,4.4,State-level estimate
Bayelsa,South South,2024,5.1,State-level estimate
Cross River,South South,2024,4.4,State-level estimate
Delta,South South,2024,4.0,State-level estimate
Edo,South South,2024,4.3,State-level estimate
Rivers,South South,2024,4.1,State-level estimate
Ekiti,South West,2024,3.9,State-level estimate
Lagos,South West,2024,3.8,State-level estimate
Ogun,South West,2024,3.7,State-level estimate
Ondo,South West,2024,4.2,State-level estimate
Osun,South West,2024,3.8,State-level estimate
Oyo,South West,2024,3.7,State-level estimate
